Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,32 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,8 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12450H,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12450H,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12450H,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,8 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Windows 11 Pro,Yok,1,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Windows 11 Home,Yok,0,4,5 GHz,1920 x 1080,Yok,32 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,1,4,5 GHz,1920 x 1080,,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12800H,Windows 10 Pro,Var,1,4,8 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12800H,Windows 10 Pro,Var,1,4,8 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12900HK,Windows 11 Pro,,0,5 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,LED,12.Nesil,12500H,Yok (Free Dos),,0,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,16 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1200,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,1 - 2 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,2 TB,Notebook,YÅksek
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,1,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Windows 11 Home,Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1921 x 1080,Yok,8 GB,512 GB,Notebook,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,1,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Windows 11 Home,Var,1,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Windows 11 Home,Yok,1,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Windows 11 Pro,Yok,1,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,DDR5,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,4 kg ve östÅ,16,1 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,TN,12.Nesil,12450H,Yok (Free Dos),Yok,1,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,TN,12.Nesil,12450H,Yok (Free Dos),Yok,1,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,12.Nesil,12650H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,8 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,LED,12.Nesil,12650H,Yok (Free Dos),Yok,0,2,3 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12650H,Yok (Free Dos),,1,4,7 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12650H,Yok (Free Dos),,1,4,7 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12650H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12650H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12650H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,WVA,12.Nesil,12700H,Ubuntu,,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
5200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,OLED,12.Nesil,12700H,Windows 11 Home,Yok,0,4,7 GHz,3840 x 2160,Yok,16 GB,1 TB,Notebook,Äok YÅksek
5200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,OLED,12.Nesil,12700H,Windows 11 Home,Yok,0,4,7 GHz,3840 x 2160,Yok,16 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,LED,12.Nesil,12700H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,16 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Windows 11 Home,Var,1,4,5 GHz,1920 x 1080,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,,32 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,TN,12.Nesil,12650H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,TN,12.Nesil,12650H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,TN,12.Nesil,12650H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12650H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Windows 11 Home,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,WVA,12.Nesil,12900H,Windows 11 Pro,Yok,1,5 GHz,2560 x 1440,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,WVA,12.Nesil,12900H,Windows 11 Pro,Yok,1,5 GHz,2560 x 1440,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,1,4,7 GHz,2560 x 1440,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),,1,4,7 GHz,2560 x 1440,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),,1,4,7 GHz,2560 x 1440,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12900H,Yok (Free Dos),Yok,0,5 GHz,1920 x 1080,,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12900H,Yok (Free Dos),Yok,0,5 GHz,1920 x 1080,,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12900H,Yok (Free Dos),Yok,0,5 GHz,1920 x 1080,,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,1 - 2 kg,15,6 iná,Onboard,,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
,1 - 2 kg,16 iná,,,Dahili Ekran Kartç,IPS,12.Nesil,12700H,Windows 11 Home,Yok,0,4,7 GHz,1920 x 1200,Var,16 GB,512 GB,Notebook,Orta
,1 - 2 kg,16 iná,,,Dahili Ekran Kartç,IPS,12.Nesil,12900H,Windows 11 Home,Yok,0,5 GHz,2520 x 1680,Var,16 GB,1 TB,Notebook,YÅksek
,1 - 2 kg,16 iná,,,Dahili Ekran Kartç,IPS,12.Nesil,12450H,Windows 11 Home,Yok,0,4,4 GHz,1920 x 1200,Var,8 GB,512 GB,Notebook,DÅüÅk
4266 MHz,1 - 2 kg,12,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LTPS,12.Nesil,1255U,Windows 11 Home,Yok,1,3,5 GHz,2560 x 1600,Yok,16 GB,512 GB,òkisi Bir Arada,YÅksek
,1 - 2 kg,13 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Yok,0,4,4 GHz,2880 x 1800,Yok,8 GB,256 GB,òkisi Bir Arada,YÅksek
,1 - 2 kg,13,3 iná,,Paylaüçmlç,Dahili Ekran Kartç,OLED,12.Nesil,1260P,Windows 11 Home,Var,0,4,7 GHz,2880 x 1800,Var,16 GB,1 TB,òkisi Bir Arada,YÅksek
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1215U,Windows 11 Pro,Yok,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1215U,Windows 11 Pro,Yok,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,1,4,4 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,1,4,4 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 10 Home,Yok,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,3,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,YÅksek
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,,0,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
4800 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,,0,4,4 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,Orta
4800 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,,0,4,7 GHz,1920 x 1200,Var,16 GB,512 GB,Notebook,YÅksek
3200 MHz,2 - 4 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1200,Var,16 GB,500 GB,Notebook,YÅksek
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1260P,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1080,Var,64 GB,512 GB,Notebook,YÅksek
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1260P,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1080,Var,64 GB,512 GB,Notebook,YÅksek
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Var,16 GB,500 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
